0144,[磐][代][之] [野][中][尓][立][有] [結][松] [情][毛][不][解] [古][所][念][[未][詳]]
0145,[鳥][翔][成] [有][我][欲][比][管] [見][良][目][杼][母] [人][社][不][知] [松][者][知][良][武]
0146,[後][将][見][跡] [君][之][結][有] [磐][代][乃] [子][松][之][宇][礼][乎] [又][将][見][香][聞]
0147,[天][原] [振][放][見][者] [大][王][乃] [御][壽][者][長][久] [天][足][有]
0148,[青][旗][乃] [木][旗][能][上][乎] [賀][欲][布][跡][羽] [目][尓][者][雖][視] [直][尓][不][相][香][裳]
0149,[人][者][縦] [念][息][登][母] [玉][蘰] [影][尓][所][見][乍] [不][所][忘][鴨]
0150,[空][蝉][師] [神][尓][不][勝][者] [離][居][而] [朝][嘆][君] [放][居][而] [吾][戀][君] [玉][有][者] [手][尓][巻][持][而] [衣][有][者] [脱][時][毛][無] [吾][戀] [君][曽][伎][賊][乃][夜] [夢][所][見][鶴]
0151,[如][是][有][乃] <[懐]>[知][勢][婆] [大][御][船] [泊][之][登][萬][里][人] [標][結][麻][思][乎] [[額][田][王]]
0152,[八][隅][知][之] [吾][期][大][王][乃] [大][御][船] [待][可][将][戀] [四][賀][乃][辛][埼] [[舎][人][吉][年]]
0153,[鯨][魚][取] [淡][海][乃][海][乎] [奥][放][而] [榜][来][船] [邊][附][而] [榜][来][船] [奥][津][加][伊] [痛][勿][波][祢][曽] [邊][津][加][伊] [痛][莫][波][祢][曽] [若][草][乃] [嬬][之] [念][鳥][立]
0154,[神][樂][浪][乃] [大][山][守][者] [為][誰]<[可]> [山][尓][標][結] [君][毛][不][有][國]
0155,[八][隅][知][之] [和][期][大][王][之] [恐][也] [御][陵][奉][仕][流] [山][科][乃] [鏡][山][尓] [夜][者][毛] [夜][之][盡] [晝][者][母] [日][之][盡] [哭][耳]<[呼]> [泣][乍][在][而][哉] [百][礒][城][乃] [大][宮][人][者] [去][別][南]
0156,[三][諸][之] [神][之][神][須][疑] [已][具][耳][矣][自][得][見][監][乍][共] [不][寝][夜][叙][多]
0157,[神][山][之] [山][邊][真][蘇][木][綿] [短][木][綿] [如][此][耳][故][尓] [長][等][思][伎]
0158,[山][振][之] [立][儀][足] [山][清][水] [酌][尓][雖][行] [道][之][白][鳴]
0159,[八][隅][知][之] [我][大][王][之] [暮][去][者] [召][賜][良][之] [明][来][者] [問][賜][良][志] [神][岳][乃] [山][之][黄][葉][乎] [今][日][毛][鴨] [問][給][麻][思] [明][日][毛][鴨] [召][賜][萬][旨] [其][山][乎] [振][放][見][乍] [暮][去][者] [綾][哀] [明][来][者] [裏][佐][備][晩] [荒][妙][乃] [衣][之][袖][者] [乾][時][文][無]
0160,[燃][火][物] [取][而][褁][而] [福][路][庭] [入][澄][不][言][八][面] [智][男][雲]
0161,[向][南][山] [陳][雲][之] [青][雲][之] [星][離][去] [月]<[矣]>[離][而]
